Países,Esperanzavida1990,Esperanzavida2016,,,,,,,
Sudan,56,64,,,,,,,
Suriname,67,71,,,,,,,
Sweden,78,82,,,,,,,
Switzerland,77,83,,,,,,,
Syrian Arab Republic,71,70,,,,,,,
Tajikistan,63,71,,,,,,,
Tanzania,50,66,,,,,,,
Thailand,70,75,,,,,,,
Timor-Leste,48,69,,,,,,,
Togo,56,60,,,,,,,
Tonga,70,73,,,,,,,
Trinidad and Tobago,68,71,,,,,,,
Tunisia,69,76,,,,,,,
Turkey,64,76,,,,,,,
Turkmenistan,63,68,,,,,,,
Uganda,46,60,,,,,,,
Ukraine,70,71,,,,,,,
United Arab Emirates,72,77,,,,,,,
United Kingdom,76,81,,,,,,,
United States,75,79,,,,,,,
Uruguay,73,77,,,,,,,
Uzbekistan,66,71,,,,,,,
Vanuatu,63,72,,,,,,,
"Venezuela, RB",70,75,,,,,,,
Vietnam,71,76,,,,,,,
Virgin Islands (U.S.),74,79,,,,,,,
West Bank and Gaza,68,73,,,,,,,
"Yemen, Rep.",58,65,,,,,,,
Zambia,45,62,,,,,,,
Zimbabwe,58,61,,,,,,,
World,65,72,,,,,,,
East Asia & Pacific,69,75,,,,,,,
Europe & Central Asia,72,77,,,,,,,
Latin America & Caribbean,68,76,,,,,,,
Middle East & North Africa,66,73,,,,,,,
North America,75,79,,,,,,,
South Asia,58,69,,,,,,,
Sub-Saharan Africa,50,60,,,,,,,
Low income,51,63,,,,,,,
Lower middle income,59,68,,,,,,,
Upper middle income,69,75,,,,,,,
High income,75,80,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
