Países,Esperanzavida1990,Esperanzavida2016,,Diferencia,,,,,,,,,
Mali,46,58,,12,,,,,,,,,
Malta,76,82,,6,,,,,,,,,
Mauritania,58,63,,5,,,,,,,,,
Mauritius,69,74,,5,,,,,,,,,
Mexico,71,77,,6,,,,,,,,,
"Micronesia, Fed. Sts.",66,69,,3,,,,,,,,,
Moldova,68,72,,4,,,,,,,,,
Mongolia,60,69,,9,,,,,,,,,
Montenegro,75,77,,2,,,,,,,,,
Morocco,65,76,,11,,,,,,,,,
Mozambique,43,58,,15,,,,,,,,,
Myanmar,59,67,,8,,,,,,,,,
Namibia,62,64,,2,,,,,,,,,
Nepal,54,70,,16,,,,,,,,,
Netherlands,77,82,,5,,,,,,,,,
New Caledonia,70,77,,7,,,,,,,,,
New Zealand,75,82,,7,,,,,,,,,
Nicaragua,64,75,,11,,,,,,,,,
Niger,44,60,,16,,,,,,,,,
Nigeria,46,53,,7,,,,,,,,,
Norway,77,83,,6,,,,,,,,,
Oman,67,77,,10,,,,,,,,,
Pakistan,60,66,,6,,,,,,,,,
Panama,73,78,,5,,,,,,,,,
Papua New Guinea,59,66,,7,,,,,,,,,
Paraguay,68,73,,5,,,,,,,,,
Peru,66,75,,9,,,,,,,,,
Philippines,65,69,,4,,,,,,,,,
Poland,71,77,,6,,,,,,,,,
Portugal,74,81,,7,,,,,,,,,
Puerto Rico,74,80,,6,,,,,,,,,
Qatar,75,78,,3,,,,,,,,,
Romania,70,75,,5,,,,,,,,,
Russian Federation,69,72,,3,,,,,,,,,
Rwanda,34,67,,33,,,,,,,,,
Samoa,65,75,,10,,,,,,,,,
Sao Tome and Principe,62,67,,5,,,,,,,,,
Saudi Arabia,69,75,,6,,,,,,,,,
Senegal,57,67,,10,,,,,,,,,
Serbia,71,75,,4,,,,,,,,,
Seychelles,68,74,,6,,,,,,,,,
Sierra Leone,37,52,,15,,,,,,,,,
Singapore,75,83,,8,,,,,,,,,
Slovak Republic,71,77,,6,,,,,,,,,
Slovenia,73,81,,8,,,,,,,,,
Solomon Islands,57,71,,14,,,,,,,,,
Somalia,45,56,,11,,,,,,,,,
South Africa,62,63,,1,,,,,,,,,
South Sudan,44,57,,13,,,,,,,,,
Spain,77,83,,6,,,,,,,,,
Sri Lanka,70,75,,5,,,,,,,,,
St. Lucia,71,75,,4,,,,,,,,,
St. Martin (French part),75,80,,5,,,,,,,,,
St. Vincent and the Grenadines,70,73,,3,,,,,,,,,
Sudan,56,64,,8,,,,,,,,,
Suriname,67,71,,4,,,,,,,,,
Sweden,78,82,,4,,,,,,,,,
Switzerland,77,83,,6,,,,,,,,,
Syrian Arab Republic,71,70,,-1,,,,,,,,,
Tajikistan,63,71,,8,,,,,,,,,
Tanzania,50,66,,16,,,,,,,,,
Thailand,70,75,,5,,,,,,,,,
Timor-Leste,48,69,,21,,,,,,,,,
Togo,56,60,,4,,,,,,,,,
Tonga,70,73,,3,,,,,,,,,
Trinidad and Tobago,68,71,,3,,,,,,,,,
Tunisia,69,76,,7,,,,,,,,,
Turkey,64,76,,12,,,,,,,,,
Turkmenistan,63,68,,5,,,,,,,,,
Uganda,46,60,,14,,,,,,,,,
Ukraine,70,71,,1,,,,,,,,,
United Arab Emirates,72,77,,5,,,,,,,,,
United Kingdom,76,81,,5,,,,,,,,,
United States,75,79,,4,,,,,,,,,
Uruguay,73,77,,4,,,,,,,,,
Uzbekistan,66,71,,5,,,,,,,,,
Vanuatu,63,72,,9,,,,,,,,,
"Venezuela, RB",70,75,,5,,,,,,,,,
Vietnam,71,76,,5,,,,,,,,,
Virgin Islands (U.S.),74,79,,5,,,,,,,,,
West Bank and Gaza,68,73,,5,,,,,,,,,
"Yemen, Rep.",58,65,,7,,,,,,,,,
Zambia,45,62,,17,,,,,,,,,
Zimbabwe,58,61,,3,,,,,,,,,
World,65,72,,,,,,,,,,,
East Asia & Pacific,69,75,,,,,,,,,,,
Europe & Central Asia,72,77,,,,,,,,,,,
Latin America & Caribbean,68,76,,,,,,,,,,,
Middle East & North Africa,66,73,,,,,,,,,,,
North America,75,79,,,,,,,,,,,
South Asia,58,69,,,,,,,,,,,
Sub-Saharan Africa,50,60,,,,,,,,,,,
Low income,51,63,,,,,,,,,,,
Lower middle income,59,68,,,,,,,,,,,
Upper middle income,69,75,,,,,,,,,,,
High income,75,80,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Long definition,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Adult mortality rate, female, is the probability of dying between the ages of 15 and 60--that is, the probability of a 15-year-old female dying before reaching age 60, if subject to age-specific mortality rates of the specified year between those ages.",,,,,,,,,,,,,
,,,,,,,,,,,,,
Source,,,,,,,,,,,,,
,,,,,,,,,,,,,
"(1) United Nations Population Division. World Population Prospects: 2017 Revision. (2) University of California, Berkeley, and Max Planck Institute for Demographic Research. The Human Mortality Database.",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Please see the online table at http://wdi.worldbank.org/table/2.18 for observation-level metadata, which can be downloaded in Excel.",,,,,,,,,,,,,
